Curso,Sexo,¿Quién es Richard Stallman?,¿Sabes qué características tiene el software libre?,¿Debe ser el software libre siempre gratuito?,¿Puedo proteger mi trabajo con alguna licencia y que siga siendo software libre?,¿Conoces alguna licencia de software?,¿Cuáles?,¿Liberarías tu código con una licencia Creative Commons?,Marca cuáles de los siguientes programas crees que tienen una licencia libre,¿Qué es el copyright?,¿Qué es el copyleft?,¿Cúal se aplica por defecto ante ausencia de licencia de una obra?,¿Cuántos años dura el copyright en España?,¿Qué ocurre pasado ese tiempo con la obra?,¿Conoces GitHub?,¿Has subido algún proyecto a GitHub?,¿Qué significa hacer un fork de un proyecto?
2,M,Precursor del software libre,El usuario puede modificarlo,NS/NC,Sí,No,,Depende,,Derechos de autor,NS/NC,NS/NC,20 - 25 años después de la muerte del autor,Libre,Sí,Sí,NS/NC
2,M,"Precursor del software libre, filósofo",Código abierto,NS/NC,Sí,No,,NS/NC,"uTorrent, Eclipse, Mozilla Firefox",Derechos de autor sobre un producto,NS/NC,NS/NC,30 años,Libre,Sí,No,Crear una rama nueva a partir de un proyecto ya existente
2,M,NS/NC,Abierto a la modificación por otros programadores,NS/NC,Sí,Sí,CC,Depende del código,"uTorrent, Eclipse, Mozilla Firefox",Derechos de autor,NS/NC,NS/NC,5 años,NS/NC,Sí,Sí,NS/NC
2,M,NS/NC,NS/NC,NS/NC,Sí,No,,NS/NC,Eclipse,Derechos de autor,NS/NC,NS/NC,NS/NC,NS/NC,Sí,Sí,Separar un proyecto en varias ramas
2,M,NS/NC,NS/NC,NS/NC,Sí,Sí,"VLC, Firefox",Si quiere compartir algún proyecto que quisiera que la gente mejorara libremente,Mozilla Firefox,Derechos de autor,NS/NC,NS/NC,Ilimitado,Ilimitado,Sí,Sí,Copiar proyecto de otra persona para hacer tus propias modificaciones
1,F,NS/NC,NS/NC,NS/NC,Sí,No,,NS/NC,"Google Chrome, uTorrent, Mozilla Firefox, Telegram",Derechos de autor,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
1,F,NS/NC,NS/NC,NS/NC,Sí,No,,NS/NC,"Google Chrome, Mozilla Firefox",Derechos de autor,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
1,M,NS/NC,NS/NC,NS/NC,Sí,No,,NS/NC,"uTorrent, Eclipse",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
2,M,NS/NC,Se puede modificar el código,No,Sí,Sí,"CC, GPL","Depende, por contribuir a la comunidad informática","uTorrent, Eclipse, Mozilla Firefox",NS/NC,NS/NC,Copyright,NS/NC,NS/NC,Sí,Sí,Copiar para editarlo por tu cuenta
1,F,NS/NC,Público y gratuito,Sí,Sí,No,,NS/NC,"Google Chrome, uTorrent, Eclipse, Mozilla Firefox",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,NS/NC
2,F,NS/NC,Uso libre,NS/NC,Sí,No,,NS/NC,"Google Chrome, Mozilla Firefox",Derechos de autor,NS/NC,NS/NC,NS/NC,NS/NC,Sí,Sí,NS/NC
2,F,Uno de los creadores del software libre,Se puede trabajar con su código,NS/NC,Sí,No,,Sí,"uTorrent, Eclipse, Mozilla Firefox",Licencia del autor sobre su producto,NS/NC,NS/NC,50 años,Deja de tener derechos de autor,Sí,Sí,Copiar un proyecto
2,M,Creador de UNIX,"Abierto, modificable y redistribuible.",No,Sí,Sí,GPL,Depende,"uTorrent, Eclipse, Mozilla Firefox",Derechos de autor,GPL,NS/NC,70 años despues de la muerte del autor,NS/NC,Sí,Sí,Copiar un proyecto y modificarlo independientemente del original
2,M,Creadores del movimiento de software libre,A disposición de todos gratuitamente,Sí,Sí,Sí,GPL,"Sí, para compartirlo con todo el mundo.","Eclipse, Mozilla Firefox",Declara la propiedad,NS/NC,NS/NC,50 años,Libre,Sí,Sí,Abrir una rama
2,M,NS/NC,Descarga gratuita,Sí,Sí,Sí,Copyright,NS/NC,"Google Chrome, uTorrent, Eclipse, Mozilla Firefox, Microsoft Office",Restricción de compartir obras,NS/NC,NS/NC,NS/NC,NS/NC,Sí,Sí,NS/NC
1,M,NS/NC,NS/NC,No,Sí,No,,"Sí, porque lo hace mi profesor de algebra","uTorrent, Microsoft Office, Telegram",Derechos de autor,NS/NC,NS/NC,80 años,NS/NC,No,No,NS/NC
1,M,NS/NC,Se puede ver el código y modificarlo,No,Sí,Sí,CC,Depende de si me interesa que la gente pudiese modificarlo o lucrarme con ello,"uTorrent, Mozilla Firefox, Telegram",Derechos de autor,NS/NC,NS/NC,Unos años después de la muerte del autor,NS/NC,No,No,NS/NC
1,M,NS/NC,Se puede ver el código y modificarlo,NS/NC,Sí,No,,"Sí, ya que es más seguro","Google Chrome, Telegram",Derechos de autor,NS/NC,NS/NC,Hasta la muerte del autor,Público o subasta,No,No,NS/NC
1,M,NS/NC,No,NS/NC,Sí,Sí,CC,¿Por qué no?,"Eclipse, Mozilla Firefox, Telegram",Derechos de autor,Garantiza el acceso de todos al uso de tu proyecto,Copyleft,NS/NC,NS/NC,Sí,No,NS/NC
1,M,NS/NC,Abierto a modificación,No,Sí,No,,"No, creo que hay mejores (menos exigentes)","Eclipse, Mozilla Firefox, Telegram",Licencia de pago,Licencia que no es de pago,Copyleft,NS/NC,Libre,Sí,Sí,NS/NC
1,M,Informático que ha escrito libros sobre el software libre,Se puede modificar,No,Sí,No,,NS/NC,"Eclipse, Mozilla Firefox",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
1,M,NS/NC,Código que se puede modificar,NS/NC,Sí,Sí,CC,NS/NC,"Eclipse, Mozilla Firefox, Telegram",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,NS/NC
1,M,NS/NC,NS/NC,Sí,Sí,Sí,CC,Depende del trabajo que haya hecho,"Eclipse, Mozilla Firefox, Telegram",Más restrictivo respecto a la autoria,Más libre,Copyleft,50 años,NS/NC,Sí,No,NS/NC
1,F,NS/NC,Cualquiera puede cambiar el código,No,Sí,No,,"Sí, porque lo hace mi profesor de algebra","Eclipse, Telegram",NS/NC,NS/NC,NS/NC,50 años,NS/NC,Sí,No,NS/NC
1,F,NS/NC,Se puede descargar sin necesidad de pagarlo,Sí,NS/NC,NS/NC,,NS/NC,"Google Chrome, uTorrent, Mozilla Firefox",Derecho de autor. Prohibe la reproducción de una obra sin la autorización del autor,NS/NC,NS/NC,NS/NC,Libre,No,No,NS/NC
1,M,NS/NC,Software cuyo código lo puede consultar todo el mundo,No,Sí,No,,"Sí, creo que es fiable.","uTorrent, Mozilla Firefox, Telegram",Licencia para proteger una obra.,Licencia para proteger una obra.,Copyright,20 años,NS/NC,No,No,Ver el código e intentar mejorarlo
1,M,NS/NC,El código puede ser cambiado por cualquier usuario,Sí,NS/NC,Sí,Photoshop,NS/NC,"uTorrent, Telegram",Derechos de autor para que no le copien,NS/NC,NS/NC,20 años,Cualquiera puede desarrollar tu idea sin tu permiso,No,No,NS/NC
1,M,NS/NC,Se puede ver el código y se puede modificar,NS/NC,Sí,No,,Depende de las restricciones que ponga,"uTorrent, Mozilla Firefox, Telegram",NS/NC,NS/NC,NS/NC,50 años,NS/NC,No,No,NS/NC
1,M,Fundador de la filosofía y software libre,Accesible y modificable por todo el mundo,No,Sí,Sí,"GNU, CC","Sí, permite mantener el reconocimiento y a la vez compartirlo por todo el mundo","Mozilla Firefox, Telegram",No puedes modificar el código ni compartirlo sin permiso del creador,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,Tomar un proyecto y crear uno derivado
1,M,NS/NC,NS/NC,NS/NC,Sí,NS/NC,,"Sí, permite tener un control sobre tu trabajo y mantener la autoría a la vez que se hace público","Eclipse, Mozilla Firefox, Telegram",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
1,M,NS/NC,Accesible a todo el mundo. Los ingresos se obtienen de donaciones o publicidad.,NS/NC,Sí,Sí,CC,NS/NC,"Google Chrome, uTorrent, Eclipse, Mozilla Firefox",Impide que se pueda distribuir el trabajo de una persona sin su permiso,NS/NC,NS/NC,50 años,NS/NC,No,No,NS/NC
1,M,NS/NC,Público y aquel que utilice el código fuente de un software libre debe mantenerlo como software libre,NS/NC,Sí,Sí,CC,"Sí, porque la gente podría aprovechar de ello para un fin mayor","uTorrent, Eclipse, Mozilla Firefox, Telegram",Imperativos judiciales que regulan el software,NS/NC,NS/NC,NS/NC,Libre,No,No,NS/NC
1,M,Creador de GNU,Acceso al código fuente,No,Sí,Sí,CC,"Sí, para colaborar","uTorrent, Eclipse, Mozilla Firefox, Telegram",Tipo de derecho,Tipo de derecho,Copyright,20 años,Libre,No,No,Copiar un proyecto
1,M,NS/NC,NS/NC,No,Sí,No,,"Sí, para hacer un aporte sin que me lo roben","uTorrent, Eclipse, Mozilla Firefox, Telegram",Reconocimiento de la autoría de una obra y prohibición de su explotación por gente no autorizada,Acto de compartir la obra,Copyleft,50 años,Se puede explotar por cualquiera,No,No,NS/NC
1,M,NS/NC,NS/NC,Sí,Sí,No,,Sí,"Mozilla Firefox, Telegram",Licencia,NS/NC,NS/NC,NS/NC,Público,No,No,NS/NC
3,M,NS/NC,Se puede alterar el funcionamiento del mismo al gusto,Sí,NS/NC,Sí,Microsoft Word,"No, el código me lo curro yo","uTorrent, Eclipse, Telegram",Lo que regula a quien pertenece la creación,NS/NC,NS/NC,Unos años después de la muerte del autor,Se suele poder usar esa obra,No,No,Duplicado o copia de un proyecto
2,M,Importante hombre en la informática,Gratis,Sí,Sí,No,,NS/NC,"Google Chrome, uTorrent, Eclipse, Mozilla Firefox, Microsoft Office, Telegram",Derechos de autor,Que no tiene derechos de autor,Copyright,Hasta la muerte del autor,Libre,No,No,NS/NC
3,M,Eminente defensor del software libre,De uso público gratuito,Sí,No,No,,NS/NC,Telegram,Impedimento legal para copiar,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
3,M,NS/NC,NS/NC,No,Sí,Sí,CC,NS/NC,"Eclipse, Mozilla Firefox",Derecho de propiedad,NS/NC,NS/NC,NS/NC,Libre,Sí,No,NS/NC
2,M,NS/NC,NS/NC,No,Sí,Sí,CC,Según el proyecto,"Eclipse, Mozilla Firefox",Derecho de propiedad intelectual,NS/NC,NS/NC,NS/NC,NS/NC,Sí,Sí,Continuación de un proyecto por otra persona
